"filename", "language", "Ini", "C++", "C", "comment", "blank", "total"
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\include\app_log.h", "C++", 0, 39, 0, 9, 9, 57
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\bsp\bsp.c", "C", 0, 0, 4, 1, 2, 7
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\bsp\bsp.h", "C++", 0, 13, 0, 0, 5, 18
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\button_driver\button_driver.c", "C", 0, 0, 55, 2, 9, 66
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\button_driver\button_driver.h", "C++", 0, 13, 0, 1, 7, 21
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_driver\can_driver.cpp", "C++", 0, 42, 0, 2, 10, 54
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_driver\can_driver.h", "C++", 0, 13, 0, 1, 6, 20
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_service\can_service.c", "C", 0, 0, 48, 3, 5, 56
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_service\can_service.h", "C++", 0, 11, 0, 0, 4, 15
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\ipc_manager\ipc.c", "C", 0, 0, 21, 2, 7, 30
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\ipc_manager\ipc.h", "C++", 0, 15, 0, 1, 6, 22
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\led_driver\led_driver.c", "C", 0, 0, 25, 0, 5, 30
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\led_driver\led_driver.h", "C++", 0, 18, 0, 0, 5, 23
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\dashboard_struct.c", "C", 0, 0, 7, 0, 2, 9
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\dashboard_struct.h", "C++", 0, 26, 0, 5, 10, 41
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\nextion_driver.cpp", "C++", 0, 60, 0, 2, 12, 74
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\nextion_driver.h", "C++", 0, 6, 0, 0, 2, 8
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\rotary_driver\rotary_driver.c", "C", 0, 0, 43, 0, 6, 49
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\rotary_driver\rotary_driver.h", "C++", 0, 12, 0, 1, 7, 20
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\volante_state\volante_state.h", "C++", 0, 22, 0, 5, 7, 34
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\platformio.ini", "Ini", 15, 0, 0, 1, 2, 18
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\src\buttons_app.cpp", "C++", 0, 27, 0, 0, 6, 33
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\src\buttons_app.h", "C++", 0, 9, 0, 0, 4, 13
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\src\main.cpp", "C++", 0, 44, 0, 2, 12, 58
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\test\test_main.cpp", "C++", 0, 84, 0, 3, 22, 109
"Total", "-", 15, 454, 203, 41, 172, 885
