"filename", "language", "C++", "Ini", "C", "comment", "blank", "total"
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\include\pdm_config.h", "C++", 11, 0, 0, 2, 3, 16
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\can_service\can_service.c", "C", 0, 0, 53, 6, 7, 66
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\can_service\can_service.h", "C++", 10, 0, 0, 0, 4, 14
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\ipc_manager\ipc.c", "C", 0, 0, 40, 0, 9, 49
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\ipc_manager\ipc.h", "C++", 22, 0, 0, 0, 8, 30
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\mosfet_driver\mosfet_driver.c", "C", 0, 0, 77, 1, 8, 86
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\mosfet_driver\mosfet_driver.h", "C++", 16, 0, 0, 1, 6, 23
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\mux_adc_driver\mux_adc_driver.c", "C", 0, 0, 59, 1, 9, 69
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\mux_adc_driver\mux_adc_driver.h", "C++", 12, 0, 0, 0, 4, 16
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\protection\protection.c", "C", 0, 0, 39, 6, 12, 57
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\lib\protection\protection.h", "C++", 13, 0, 0, 1, 5, 19
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\platformio.ini", "Ini", 0, 13, 0, 0, 2, 15
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\src\app.cpp", "C++", 94, 0, 0, 6, 16, 116
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\src\app.h", "C++", 9, 0, 0, 0, 4, 13
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\src\main.cpp", "C++", 5, 0, 0, 0, 2, 7
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\test\test_main.cpp", "C++", 20, 0, 0, 0, 5, 25
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\include\app_log.h", "C++", -39, 0, 0, -9, -9, -57
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\bsp\bsp.c", "C", 0, 0, -4, -1, -2, -7
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\bsp\bsp.h", "C++", -13, 0, 0, 0, -5, -18
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\button_driver\button_driver.c", "C", 0, 0, -55, -2, -9, -66
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\button_driver\button_driver.h", "C++", -13, 0, 0, -1, -7, -21
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_driver\can_driver.cpp", "C++", -42, 0, 0, -2, -10, -54
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_driver\can_driver.h", "C++", -13, 0, 0, -1, -6, -20
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_service\can_service.c", "C", 0, 0, -48, -3, -5, -56
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\can_service\can_service.h", "C++", -11, 0, 0, 0, -4, -15
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\ipc_manager\ipc.c", "C", 0, 0, -21, -2, -7, -30
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\ipc_manager\ipc.h", "C++", -15, 0, 0, -1, -6, -22
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\led_driver\led_driver.c", "C", 0, 0, -25, 0, -5, -30
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\led_driver\led_driver.h", "C++", -18, 0, 0, 0, -5, -23
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\dashboard_struct.c", "C", 0, 0, -7, 0, -2, -9
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\dashboard_struct.h", "C++", -26, 0, 0, -5, -10, -41
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\nextion_driver.cpp", "C++", -60, 0, 0, -2, -12, -74
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\nextion_driver\nextion_driver.h", "C++", -6, 0, 0, 0, -2, -8
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\rotary_driver\rotary_driver.c", "C", 0, 0, -43, 0, -6, -49
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\rotary_driver\rotary_driver.h", "C++", -12, 0, 0, -1, -7, -20
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\lib\volante_state\volante_state.h", "C++", -22, 0, 0, -5, -7, -34
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\platformio.ini", "Ini", 0, -15, 0, -1, -2, -18
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\src\buttons_app.cpp", "C++", -27, 0, 0, 0, -6, -33
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\src\buttons_app.h", "C++", -9, 0, 0, 0, -4, -13
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\src\main.cpp", "C++", -44, 0, 0, -2, -12, -58
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\Steering\Lucy_Dyn10\test\test_main.cpp", "C++", -84, 0, 0, -3, -22, -109
"Total", "-", -242, -2, 65, -17, -68, -264
